name,pin,joined,are_they_currently_practising,curently_practising,wish_to_lapse_registration,wish_to_lapse_reason,wish_to_partially_lapse_which_part,which_revalidation_requirement_not_met,exceptional_circumstances_requested,exceptional_circumstances_awarded
"Gray, Kaori",38U0796Q,2019-11-19 03:00:29,TRUE,Midwife outside the UK,No,Currently not practising / opted not to practise,Midwife,Written reflective accounts,FALSE,FALSE
"Miller, Tyler",83N7883E,2019-09-13 11:47:37,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Retirement,Midwife,Professional indemnity arrangement declaration,FALSE,TRUE
"Nosker, Valentina",90T9556Y,2019-09-12 11:52:33,FALSE,Midwife outside the UK,Yes,Ill health,Midwife,Written reflective accounts,FALSE,TRUE
"al-Saade, Fakeeha",89M9795K,2019-07-30 20:27:00,TRUE,Midwife outside the UK,No,Ill health,Midwife,Health and character declaration,FALSE,FALSE
"Loomis, Cosette",74T3061F,2019-04-22 11:40:14,FALSE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Confirmation,FALSE,FALSE
"Hammond, Joshua",59I3233B,2019-01-23 14:25:10,TRUE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Confirmation,TRUE,FALSE
"Kieselstein, Nicole",30P1322Z,2019-10-27 13:25:44,FALSE,Midwife outside the UK,Yes,Deceased,Midwife,Practice-related feedback,FALSE,FALSE
"La, Maesa",44E7152S,2019-07-26 12:22:31,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Deceased,Nurse,Practice-related feedback,FALSE,TRUE
"Hardy, Grant",57K3496L,2019-08-06 22:28:06,TRUE,Nurse outside the UK,No,Ill health,Midwife,Professional indemnity arrangement declaration,TRUE,TRUE
"Truong, Jessica",91C9915J,2019-09-18 18:38:32,FALSE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Nurse,Reflective discussion,TRUE,FALSE
"el-Soliman, Raaji",89T8620K,2019-12-19 00:22:28,FALSE,Nurse outside the UK,No,Currently not practising / opted not to practise,Midwife,CPD,FALSE,FALSE
"Palmer, Manuel",30P0397Z,2019-06-06 05:05:37,TRUE,Nurse outside the UK,Partial lapse,Retirement,Midwife,Confirmation,TRUE,FALSE
"Millan, Ana Cristina",53V5563T,2019-09-16 05:22:53,TRUE,Nurse inside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Practice-related feedback,TRUE,FALSE
"Baker, Prithviraj",87X6158V,2019-09-25 12:05:52,FALSE,Midwife outside the UK,Partial lapse,Retirement,Midwife,Professional indemnity arrangement declaration,TRUE,FALSE
"Roth, Henry",49D9522D,2019-02-12 06:29:45,TRUE,Nurse outside the UK,No,Does not meet the revalidation requirements,Midwife,Reflective discussion,TRUE,TRUE
"Sierra, Derrick",06Y5095K,2019-02-18 14:09:14,TRUE,Nurse inside the UK,Partial lapse,Deceased,Nurse,CPD,TRUE,FALSE
"el-Moghaddam, Taamir",53Q3827N,2019-10-10 17:07:18,FALSE,Midwife in UK & have submitted intention to practise form,No,Ill health,Nurse,Confirmation,FALSE,FALSE
"Kailasam, Sana",88U7643H,2019-02-06 09:09:17,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Deceased,Midwife,Professional indemnity arrangement declaration,FALSE,FALSE
"Samuel, Harm Pery",08E5423Q,2019-11-26 16:26:37,FALSE,Nurse inside the UK,No,Deceased,Nurse,Reflective discussion,TRUE,FALSE
"el-Kazemi, Waneesa",28U4314P,2019-10-28 13:45:28,FALSE,Nurse outside the UK,Yes,Retirement,Nurse,CPD,TRUE,FALSE
"Little, Britney",75D2246V,2019-03-17 19:13:04,TRUE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Nurse,Practice-related feedback,TRUE,TRUE
"Villa, De'Ron",77Z1233G,2019-01-26 22:16:24,TRUE,Nurse inside the UK,Partial lapse,Ill health,Midwife,Reflective discussion,FALSE,FALSE
"Makousky, Amy",79D4872E,2019-04-28 16:04:55,FALSE,Midwife outside the UK,Yes,Deceased,Nurse,CPD,TRUE,FALSE
"Kelly, Mariah",61J5823N,2019-07-13 10:33:17,TRUE,Nurse outside the UK,No,Does not meet the revalidation requirements,Nurse,Professional indemnity arrangement declaration,FALSE,FALSE
"Tinsley, Mckenzie",14D3972I,2019-10-20 09:21:57,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Retirement,Midwife,Reflective discussion,FALSE,FALSE
"Arens, Alysia",65O8143K,2019-01-26 05:20:46,FALSE,Midwife outside the UK,Yes,Retirement,Nurse,Written reflective accounts,TRUE,FALSE
"Bowman, Bryan",20Z1601O,2019-12-23 03:16:59,TRUE,Midwife outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Practice-related feedback,FALSE,FALSE
"Sago, Chase",83Q8047F,2019-09-18 16:44:13,FALSE,Midwife in UK & have submitted intention to practise form,No,Retirement,Nurse,CPD,TRUE,FALSE
"Mejia-Montoya, Jesus",38L1923W,2019-02-15 15:48:06,TRUE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Professional indemnity arrangement declaration,FALSE,TRUE
"Embury, Tristan",96J5880J,2019-01-01 08:27:12,FALSE,Nurse inside the UK,Yes,Deceased,Nurse,Practice hours,FALSE,FALSE
"Bonner, Shkhelley",72X2100N,2019-09-17 21:32:31,FALSE,Nurse inside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Confirmation,FALSE,TRUE
"al-Azizi, Jannat",82V4153F,2019-10-08 21:57:09,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Ill health,Midwife,Written reflective accounts,FALSE,TRUE
"el-Rayes, Shujaa",21O0094P,2019-03-12 08:50:44,TRUE,Nurse outside the UK,Partial lapse,Retirement,Midwife,Professional indemnity arrangement declaration,FALSE,TRUE
"Lo, Ribbon",84R5469A,2019-11-30 11:34:57,FALSE,Nurse inside the UK,Yes,Retirement,Midwife,Practice-related feedback,FALSE,FALSE
"Gabaldon, Isaura",47A5032U,2019-02-01 06:05:33,TRUE,Nurse inside the UK,No,Ill health,Nurse,Confirmation,TRUE,TRUE
"Marin Huerta, Anthony",70V3614M,2019-12-12 23:14:07,FALSE,Nurse inside the UK,Partial lapse,Ill health,Nurse,Practice-related feedback,FALSE,TRUE
"Xiong, Kevin",06G9922L,2019-10-18 13:04:12,FALSE,Nurse outside the UK,Partial lapse,Deceased,Midwife,Confirmation,TRUE,FALSE
"Betz, Andrew",51V4333N,2019-01-21 16:28:38,TRUE,Nurse outside the UK,No,Retirement,Nurse,Practice hours,TRUE,TRUE
"Vigil, Eric",67A5089D,2019-10-01 14:58:45,FALSE,Nurse outside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Reflective discussion,FALSE,TRUE
"el-Baccus, Burhaan",54Q4010S,2019-07-12 19:15:19,TRUE,Nurse outside the UK,Partial lapse,Deceased,Nurse,Confirmation,TRUE,TRUE
"el-Muhammad, Rasheeqa",95Y0016O,2019-06-18 03:29:08,TRUE,Nurse outside the UK,Partial lapse,Ill health,Nurse,Practice-related feedback,FALSE,FALSE
"Clark, Kristi",88R4505K,2019-10-27 22:45:10,TRUE,Nurse outside the UK,Yes,Retirement,Midwife,CPD,FALSE,FALSE
"el-Abu, Lubna",12Z4205M,2019-06-29 03:20:43,FALSE,Midwife outside the UK,No,Deceased,Nurse,Practice-related feedback,FALSE,FALSE
"Miranda, Odaliz",40J8057M,2019-12-03 18:36:33,TRUE,Nurse inside the UK,No,Does not meet the revalidation requirements,Nurse,Health and character declaration,TRUE,TRUE
"Watkins, Michael",17R6530Q,2019-10-17 03:52:05,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Nurse,Practice hours,TRUE,FALSE
"Baldwin, Shelby",57I2253C,2019-02-04 20:14:23,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Deceased,Nurse,Confirmation,FALSE,TRUE
"al-Yusuf, Fareeda",12T3418I,2019-08-05 13:32:28,FALSE,Midwife outside the UK,No,Currently not practising / opted not to practise,Midwife,Professional indemnity arrangement declaration,FALSE,FALSE
"Fischer, Amaihah",92Q6703D,2019-03-20 08:01:16,FALSE,Midwife outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Health and character declaration,TRUE,TRUE
"Hyden-Terry, Davianna",14R8107B,2019-08-11 19:02:19,TRUE,Nurse outside the UK,No,Currently not practising / opted not to practise,Midwife,Reflective discussion,TRUE,TRUE
"Martinez, Alicia",35A9822O,2019-08-06 02:48:39,FALSE,Nurse outside the UK,Partial lapse,Ill health,Nurse,Practice hours,FALSE,FALSE
"Lira, Nickolas",39R9005Y,2019-05-04 16:44:13,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Ill health,Midwife,Professional indemnity arrangement declaration,TRUE,TRUE
"el-Huda, Siddeeqi",85W6342J,2019-05-07 07:30:45,FALSE,Midwife outside the UK,Yes,Ill health,Nurse,Reflective discussion,TRUE,TRUE
"Guerue, Kendell",27Z4890E,2019-01-14 07:19:59,FALSE,Midwife outside the UK,No,Ill health,Nurse,Written reflective accounts,TRUE,TRUE
"Renda, Danny",39T7594T,2019-09-13 20:30:29,TRUE,Nurse inside the UK,No,Deceased,Nurse,Reflective discussion,TRUE,TRUE
"Pennel, Andrew",67W6778T,2019-11-19 03:38:22,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Deceased,Midwife,Written reflective accounts,TRUE,FALSE
"Ceballos, Monserrat",83C5553Z,2019-10-12 15:59:45,TRUE,Midwife outside the UK,No,Retirement,Midwife,Professional indemnity arrangement declaration,FALSE,FALSE
"Ditter, Amra",96V0729C,2019-11-21 01:15:34,TRUE,Midwife outside the UK,Partial lapse,Deceased,Midwife,Health and character declaration,FALSE,FALSE
"Darity, Shania",72T1270W,2019-03-16 22:20:35,FALSE,Nurse inside the UK,No,Deceased,Midwife,Practice-related feedback,TRUE,FALSE
"Hunter, Kendra",11I3899D,2019-05-02 08:01:56,FALSE,Nurse outside the UK,Partial lapse,Retirement,Nurse,Professional indemnity arrangement declaration,FALSE,TRUE
"Brown, Efrain",02T8216D,2019-02-22 09:05:42,TRUE,Nurse outside the UK,Yes,Retirement,Nurse,Practice-related feedback,FALSE,TRUE
"Garcia, Luis",48K6819N,2019-03-31 17:14:25,TRUE,Nurse inside the UK,Yes,Deceased,Nurse,Health and character declaration,TRUE,TRUE
"Mcdevitt, Justin",02B8003P,2019-12-26 05:24:46,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Midwife,Written reflective accounts,TRUE,TRUE
"Aslami, Matthew",95E8834D,2019-02-12 04:52:08,TRUE,Nurse outside the UK,Partial lapse,Retirement,Midwife,Practice hours,TRUE,FALSE
"Yeung, Jin",41W8967K,2019-10-26 10:57:46,FALSE,Nurse inside the UK,Partial lapse,Retirement,Midwife,Written reflective accounts,FALSE,TRUE
"el-Jama, Hazeela",55A2597J,2019-08-20 18:18:31,TRUE,Nurse inside the UK,Partial lapse,Deceased,Midwife,Professional indemnity arrangement declaration,FALSE,FALSE
"De Dios, Thomas",68K6464C,2019-04-11 11:01:55,TRUE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Nurse,CPD,TRUE,FALSE
"Tenorio, Eidy",81J0008X,2019-10-13 18:39:21,FALSE,Midwife in UK & have submitted intention to practise form,No,Deceased,Midwife,Written reflective accounts,TRUE,TRUE
"Nawaz, Nicole",35M6655R,2019-03-18 14:14:37,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Retirement,Nurse,Health and character declaration,FALSE,FALSE
"al-Haque, Ramza",29K6641K,2019-04-26 16:25:55,FALSE,Nurse outside the UK,No,Retirement,Nurse,Health and character declaration,TRUE,TRUE
"Pensoneau, Loagyn",90U7820I,2019-12-10 22:34:31,FALSE,Nurse outside the UK,Yes,Retirement,Nurse,Written reflective accounts,TRUE,FALSE
"Flores, Cedryk",39G0820T,2019-05-11 12:24:33,TRUE,Nurse outside the UK,Partial lapse,Deceased,Midwife,Confirmation,TRUE,TRUE
"el-Kamali, Khairi",71S6547S,2019-03-16 07:30:21,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Deceased,Nurse,Written reflective accounts,TRUE,TRUE
"Lewis, Ashley",26W2814Z,2019-05-30 18:50:05,TRUE,Midwife in UK & have submitted intention to practise form,No,Ill health,Midwife,Practice hours,TRUE,FALSE
"Newberry, Janea",11Y0952U,2019-06-28 01:30:21,TRUE,Nurse inside the UK,Yes,Ill health,Midwife,Confirmation,FALSE,FALSE
"el-Nasr, Ummu Kulthoom",93G6165W,2019-01-29 17:44:08,TRUE,Nurse outside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,CPD,TRUE,FALSE
"Cly, Deion",63G1104S,2019-04-15 01:38:42,FALSE,Nurse inside the UK,No,Retirement,Midwife,Practice hours,FALSE,TRUE
"Webb, Daniel",21O0094P,2019-10-18 15:54:34,FALSE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Practice hours,TRUE,FALSE
"Lee, Nia",47J7950P,2019-02-15 15:12:21,TRUE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Practice-related feedback,TRUE,FALSE
"Butler, Jacob",47R3683I,2019-07-07 12:47:34,TRUE,Nurse inside the UK,Yes,Ill health,Nurse,Practice hours,TRUE,TRUE
"Hutchinson, Samantha",48O0922C,2019-04-20 04:32:26,TRUE,Nurse inside the UK,Yes,Currently not practising / opted not to practise,Midwife,Reflective discussion,FALSE,TRUE
"al-Mohiuddin, Shameem",23F9679E,2019-08-24 01:53:39,TRUE,Nurse outside the UK,No,Does not meet the revalidation requirements,Nurse,CPD,FALSE,FALSE
"Whiteplume, Aerika",58I4624Y,2019-10-20 19:43:50,FALSE,Midwife in UK & have submitted intention to practise form,No,Deceased,Midwife,Practice hours,TRUE,FALSE
"Snyder, Aarika",58G5773X,2019-07-02 00:30:58,TRUE,Nurse inside the UK,Partial lapse,Retirement,Midwife,Health and character declaration,FALSE,FALSE
"el-Moghaddam, Taamir",12T2306K,2019-05-25 18:05:35,TRUE,Nurse outside the UK,No,Retirement,Nurse,Written reflective accounts,FALSE,FALSE
"Papike, Amir",76I6026X,2019-12-23 22:58:23,TRUE,Midwife in UK & have submitted intention to practise form,No,Ill health,Nurse,CPD,TRUE,FALSE
"el-Kazmi, Jaasir",84P7283Z,2019-01-16 00:22:15,FALSE,Midwife outside the UK,No,Currently not practising / opted not to practise,Nurse,Practice hours,FALSE,TRUE
"Vang, Anthony",30R2621U,2019-11-20 03:42:17,FALSE,Nurse inside the UK,Partial lapse,Deceased,Midwife,Practice hours,FALSE,TRUE
"Flynn, Emma",09R3939Z,2019-04-30 01:47:25,FALSE,Midwife outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Reflective discussion,TRUE,FALSE
"Yazzie, Alex",81M4562P,2019-11-11 22:32:12,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Retirement,Midwife,Health and character declaration,TRUE,FALSE
"Downs, Ty",62W4738L,2019-08-18 12:09:59,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Currently not practising / opted not to practise,Nurse,CPD,TRUE,FALSE
"Torres, Christian",54V9328J,2019-06-15 07:06:03,FALSE,Midwife in UK & have submitted intention to practise form,No,Currently not practising / opted not to practise,Nurse,Confirmation,FALSE,FALSE
"Lopez, Felina",76R5812X,2019-02-18 21:50:59,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Deceased,Nurse,Written reflective accounts,FALSE,TRUE
"al-Mansoor, Najeema",33X7697T,2019-08-12 04:52:27,TRUE,Nurse inside the UK,No,Deceased,Nurse,Written reflective accounts,FALSE,FALSE
"Nunez, Christian",65P0805P,2019-11-18 17:59:12,TRUE,Nurse inside the UK,Partial lapse,Retirement,Midwife,CPD,FALSE,FALSE
"el-Javed, Sajaa",90E5291K,2019-08-26 20:46:45,TRUE,Nurse outside the UK,Partial lapse,Deceased,Nurse,Written reflective accounts,FALSE,FALSE
"Estrada, Darion",05C1543V,2019-02-26 18:36:07,TRUE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Confirmation,FALSE,FALSE
"Otgonbayar, Matthew",20W5112H,2019-10-15 10:46:18,TRUE,Midwife outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Confirmation,FALSE,FALSE
"al-Shariff, Musheer",96Z3668M,2019-07-12 07:01:51,FALSE,Nurse outside the UK,Yes,Retirement,Midwife,Professional indemnity arrangement declaration,TRUE,FALSE
"Powell, Zacory",93F6771P,2019-08-21 08:43:55,TRUE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,CPD,FALSE,FALSE
"Amarsaikhan, Filitaa",83E9192D,2019-10-28 13:45:28,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Deceased,Nurse,Written reflective accounts,TRUE,TRUE
"Day, Drew",07B9681Q,2019-10-08 08:16:30,FALSE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Health and character declaration,FALSE,FALSE
"Leon, Richard",12R8606P,2019-04-07 12:07:56,FALSE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Midwife,Practice-related feedback,TRUE,FALSE
"al-Wahab, Haajara",02S7659N,2019-01-20 02:09:17,TRUE,Midwife outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Health and character declaration,FALSE,FALSE
"Merriweather, Ashley",74E2614B,2019-03-07 05:50:12,FALSE,Nurse outside the UK,Partial lapse,Retirement,Midwife,CPD,FALSE,TRUE
"Cabral-Hollowhorn, Ian",28Q6483R,2019-02-06 09:09:17,FALSE,Midwife outside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Written reflective accounts,TRUE,FALSE
"Solano, Elizabeth",92C1288F,2019-03-18 07:44:22,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Midwife,CPD,TRUE,FALSE
"Chand, Bailey",50U0571S,2019-06-17 01:52:58,FALSE,Midwife outside the UK,No,Currently not practising / opted not to practise,Midwife,Practice-related feedback,TRUE,TRUE
"Shot At, Kimberly",57O5916K,2019-05-07 07:30:45,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Deceased,Midwife,Practice hours,TRUE,FALSE
"Taft, Mark",16Q4526D,2019-02-08 13:19:11,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Deceased,Nurse,Practice-related feedback,TRUE,TRUE
"Cheek, Kenaya",74X1614Y,2019-10-08 01:34:50,TRUE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Nurse,Written reflective accounts,TRUE,FALSE
"Fenton, Seth",89H8160J,2019-10-11 02:34:15,FALSE,Nurse inside the UK,No,Does not meet the revalidation requirements,Nurse,Practice hours,TRUE,FALSE
"Lewis, Ashley",46D7736X,2019-04-25 14:42:55,FALSE,Nurse inside the UK,No,Deceased,Nurse,Reflective discussion,TRUE,TRUE
"Bucher, Breanna",36T0186V,2019-03-19 23:56:00,FALSE,Midwife outside the UK,No,Retirement,Midwife,Practice-related feedback,FALSE,TRUE
"al-Parsa, Aadil",44Z2742J,2019-09-05 08:23:28,TRUE,Nurse outside the UK,No,Deceased,Nurse,Professional indemnity arrangement declaration,TRUE,FALSE
"Salazar, Daniela",11Q5461G,2019-06-29 03:20:43,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Retirement,Nurse,Practice hours,FALSE,TRUE
"Shihadeh, Lang",44P2966P,2019-08-12 02:20:57,FALSE,Midwife outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Confirmation,TRUE,TRUE
"Briseno, Stephanie",51R7587X,2019-08-08 12:28:55,TRUE,Midwife outside the UK,Partial lapse,Retirement,Nurse,Reflective discussion,FALSE,TRUE
"Cundiff, Levi",05M2349X,2019-11-04 14:06:00,FALSE,Midwife in UK & have submitted intention to practise form,No,Ill health,Midwife,Written reflective accounts,FALSE,TRUE
"Mares, Melissa",05H0076D,2019-04-20 03:04:43,TRUE,Midwife outside the UK,No,Currently not practising / opted not to practise,Midwife,Practice hours,FALSE,FALSE
"Bowens, Jaquaya",89Y6520O,2019-02-08 04:45:59,FALSE,Nurse outside the UK,No,Deceased,Midwife,CPD,TRUE,FALSE
"el-Nasir, Waheeba",92T5869E,2019-08-26 14:53:52,TRUE,Nurse inside the UK,No,Retirement,Nurse,CPD,TRUE,FALSE
"al-Javed, Rafeeda",31P7927Y,2019-12-16 19:55:40,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Does not meet the revalidation requirements,Midwife,Written reflective accounts,TRUE,TRUE
"Schell, Daniel",61U6862Z,2019-03-28 20:03:45,TRUE,Midwife outside the UK,No,Does not meet the revalidation requirements,Midwife,Practice-related feedback,TRUE,TRUE
"Namlong, Madina",68F2374T,2019-01-26 18:16:48,TRUE,Nurse inside the UK,Partial lapse,Deceased,Nurse,Health and character declaration,TRUE,FALSE
"el-Sadiq, Izzat",34T3387D,2019-09-06 21:34:26,TRUE,Midwife outside the UK,Yes,Currently not practising / opted not to practise,Nurse,CPD,TRUE,TRUE
"Jones, Deandre",07R5092W,2019-01-15 08:03:50,TRUE,Nurse outside the UK,Partial lapse,Retirement,Nurse,CPD,FALSE,TRUE
"Houlihan, Kathryn",59Y5695U,2019-07-28 19:05:25,FALSE,Nurse inside the UK,No,Retirement,Nurse,Practice hours,TRUE,FALSE
"Harris, Lonnie",49G4514P,2019-03-22 07:26:09,TRUE,Nurse outside the UK,No,Does not meet the revalidation requirements,Midwife,Reflective discussion,FALSE,FALSE
