name,pin,joined,source_of_referral,reason_for_referral,allegation_type,employer_information
"Williams-Perkins, Yohanes",78V2913W,2019-03-03 20:14:42,Employer,Reason2,allegationtype1,Information from employer
"al-Bey, Lateefa",92J1401J,2019-04-03 11:25:43,Employer,Reason2,allegationtype2,
"Upadhyay, De Ying",88M9813Y,2019-01-28 01:57:04,Employer,Reason2,allegationtype1,Information from employer
"Mangels, Madison",97A0794C,2019-03-08 05:09:25,Employer,Reason1,allegationtype2,Information from employer
"Hall, Kenneth",07L4001U,2019-05-08 11:23:12,Member fo the public,Reason1,allegationtype2,
"Mcateer, Taylor",40U9558H,2019-03-16 06:16:34,Employer,Reason2,allegationtype2,Information from employer
"Casias, Sandra",86O4458Q,2019-06-29 00:10:15,Employer,Reason1,allegationtype2,Information from employer
"Banchongchith, Janice",63V6961Z,2019-03-02 10:58:09,Employer,Reason1,allegationtype2,
"Sassman, Jeremiah",14B4870X,2019-10-10 09:05:19,Employer,Reason1,allegationtype1,
"Lobato, Jeremy",21F1380J,2019-04-26 10:00:50,Member fo the public,Reason1,allegationtype2,Information from employer
"Crowe, Alisha",41P2176O,2019-07-19 14:55:54,Member fo the public,Reason1,allegationtype1,Information from employer
"al-Moustafa, Aseel",01T6603N,2019-07-11 06:36:46,Member fo the public,Reason1,allegationtype2,Information from employer
"Hickman, Yael",84K6687L,2019-01-02 12:29:54,Member fo the public,Reason2,allegationtype2,
"Edmond, Leniga",53A1216Y,2019-03-10 16:35:46,Employer,Reason1,allegationtype2,
"Rupp, Phelicia",89G7860Q,2019-04-07 08:18:40,Member fo the public,Reason1,allegationtype2,
"Gonzales, Christina",70B7886E,2019-04-13 00:55:37,Employer,Reason1,allegationtype1,Information from employer
"Doss, Brylon",18Y9026J,2019-06-24 17:15:24,Member fo the public,Reason2,allegationtype1,
"al-Matin, Dhaki",56E7951M,2019-11-03 13:34:52,Member fo the public,Reason1,allegationtype2,
"al-Akhter, Raaid",61E1389C,2019-03-31 13:03:28,Member fo the public,Reason2,allegationtype1,
"al-Abdallah, Nabeel",25C2850F,2019-03-31 17:11:13,Member fo the public,Reason1,allegationtype2,
"Robinson, Brie",44U5639Q,2019-04-19 00:32:10,Employer,Reason1,allegationtype2,
"Medina, Nicholas",00X5809J,2019-03-05 09:18:46,Member fo the public,Reason2,allegationtype2,Information from employer
"Medina, Freddy",98M0825C,2019-09-20 20:26:28,Employer,Reason1,allegationtype1,
"Grant, Tasia",29K6641K,2019-09-06 01:32:14,Member fo the public,Reason2,allegationtype2,Information from employer
"Leong, Chinmay",45D9278C,2019-01-28 00:49:53,Member fo the public,Reason1,allegationtype1,
"Abeyta, Yazmin",88Z6960Q,2019-03-28 12:42:44,Employer,Reason1,allegationtype2,Information from employer
"Boulanger, Alexandra",31H8305U,2019-01-18 14:03:30,Member fo the public,Reason2,allegationtype2,Information from employer
"Parent, Rebekah",62C9903D,2019-04-20 09:35:46,Member fo the public,Reason2,allegationtype2,Information from employer
"Bishop, Wilfried",57P7923P,2019-02-28 15:53:06,Member fo the public,Reason1,allegationtype1,Information from employer
"el-Fawaz, Mufeeda",55B4633L,2019-08-29 16:44:01,Employer,Reason2,allegationtype2,Information from employer
"Johnston, Erin",89E9400M,2019-01-05 23:59:07,Member fo the public,Reason1,allegationtype2,Information from employer
"Gibbons, Jacob",44H8171U,2019-11-05 14:46:39,Employer,Reason1,allegationtype1,Information from employer
"el-Shaikh, Sireen",60Y3655Q,2019-10-06 12:52:38,Employer,Reason1,allegationtype1,
"Pickering, Poulami",43Q9189U,2019-06-09 01:28:51,Member fo the public,Reason2,allegationtype2,
"Zhu, Elizabeth",53Z3489V,2019-03-24 22:54:46,Member fo the public,Reason2,allegationtype1,Information from employer
"el-Salek, Nafeesa",44F7638E,2019-03-13 18:53:32,Employer,Reason1,allegationtype1,
"Salazar, Sarai",94J0568G,2019-02-18 22:12:38,Employer,Reason2,allegationtype2,
"Stevenson, Tyler",22O0033A,2019-09-09 11:32:19,Employer,Reason2,allegationtype2,Information from employer
"Brown, Edward",22Q4463D,2019-10-21 01:07:57,Employer,Reason1,allegationtype2,Information from employer
"Cave, Jordan",14E9488H,2019-08-20 21:52:12,Member fo the public,Reason1,allegationtype2,Information from employer
"Bentley, John",75U9207H,2019-10-13 05:40:19,Employer,Reason2,allegationtype1,Information from employer
"Piele III, Timothy",18V9893H,2019-02-12 02:39:10,Employer,Reason1,allegationtype1,Information from employer
"Hansen, Robyn",01H6606F,2019-02-21 01:22:55,Employer,Reason2,allegationtype1,Information from employer
"Duran, Cassandra",26F3209W,2019-03-25 07:42:14,Employer,Reason2,allegationtype2,
"Horton, Linh",24A0071F,2019-09-06 18:04:10,Member fo the public,Reason2,allegationtype1,Information from employer
"Jones, Aimee",77Z9263D,2019-05-28 07:33:11,Member fo the public,Reason2,allegationtype1,
"Adams, Brandon",38I3594W,2019-10-28 04:18:45,Employer,Reason1,allegationtype1,Information from employer
"Ramirez, Nathaniel",75R2072B,2019-09-15 23:53:13,Employer,Reason1,allegationtype2,Information from employer
"Cumber, James",41K7039I,2019-07-25 06:05:31,Employer,Reason1,allegationtype1,Information from employer
"Untalan, Sae",75O4191Z,2019-11-17 10:24:27,Member fo the public,Reason1,allegationtype1,Information from employer
"Martinez, Lahana",61S2259N,2019-06-12 08:12:13,Employer,Reason2,allegationtype2,
"Nolasco, Shandi",39W2179A,2019-07-14 23:13:41,Member fo the public,Reason2,allegationtype2,
"Shihadeh, Lang",76I6026X,2019-04-27 18:27:06,Employer,Reason1,allegationtype1,
"Ervin, Michelle",09H4928Y,2019-05-05 17:48:19,Member fo the public,Reason1,allegationtype2,Information from employer
"Lanza, Sarahray",64P5762C,2019-01-01 08:12:05,Employer,Reason1,allegationtype1,Information from employer
"Mcilhone O'Hara, Johnny",45K8837D,2019-05-01 20:15:59,Member fo the public,Reason2,allegationtype2,
"al-Farhat, Fawzi",11M9661L,2019-04-12 10:21:21,Member fo the public,Reason2,allegationtype1,
"al-Jamail, Hanoona",13Z6204L,2019-04-11 18:01:21,Employer,Reason2,allegationtype1,
"Handwork, Tyler",01D7402A,2019-04-02 02:16:59,Member fo the public,Reason2,allegationtype2,
"el-Jamil, Mahmooda",98L8684Z,2019-12-01 11:20:41,Employer,Reason2,allegationtype2,Information from employer
"Matlock, Perla",57X6544L,2019-09-30 23:31:31,Employer,Reason1,allegationtype1,Information from employer
"Olvera-Arrendondo, Fernanda",44I0728I,2019-01-05 20:08:11,Member fo the public,Reason1,allegationtype2,
"Baumgartner, Conner",49X7474P,2019-04-15 03:55:25,Employer,Reason2,allegationtype2,
"Rich, Armon",53Z5157I,2019-08-02 06:25:43,Employer,Reason1,allegationtype2,
"Vang, Victoria",17C7520D,2019-02-15 15:48:06,Member fo the public,Reason2,allegationtype1,
"Ramirez Hernandez, Christopher",03Q6926U,2019-11-20 20:59:21,Employer,Reason2,allegationtype2,Information from employer
"Stallsworth, David",95Y0016O,2019-04-05 00:10:47,Member fo the public,Reason1,allegationtype2,Information from employer
"Samples, Mekinzi",80S5042M,2019-11-01 14:14:21,Employer,Reason2,allegationtype2,
"Martinez, Lahana",64T6926E,2019-06-26 21:53:48,Employer,Reason2,allegationtype1,Information from employer
"Sugar, Dennis",91F1093R,2019-07-31 22:54:42,Member fo the public,Reason1,allegationtype1,
"Reilly, Anders",29I3737M,2019-04-10 01:40:51,Member fo the public,Reason2,allegationtype1,Information from employer
"el-Zaher, Qaasim",19W6901T,2019-12-05 16:52:48,Employer,Reason1,allegationtype1,
"Lane, Chelsea",33O4878Q,2019-11-26 02:22:22,Member fo the public,Reason1,allegationtype2,Information from employer
"Stufflebean, Hayden",56H7079N,2019-10-06 02:52:44,Member fo the public,Reason2,allegationtype2,
"Shaheen, Taylor",56A3169A,2019-12-10 16:03:00,Member fo the public,Reason2,allegationtype2,Information from employer
"Santos, Rylan",53D5677A,2019-05-07 15:53:02,Employer,Reason2,allegationtype1,
"Reynolds, Joshua",53U5343A,2019-07-15 01:16:48,Employer,Reason1,allegationtype1,Information from employer
"Romero, Francisco",76Y5177U,2019-11-29 04:58:12,Member fo the public,Reason2,allegationtype2,
"Mousakhani, Madeline",78D7621U,2019-07-28 10:14:54,Employer,Reason1,allegationtype1,Information from employer
"Waterman, Mckenzie",56W6312M,2019-06-19 13:58:22,Member fo the public,Reason1,allegationtype1,
"Koh, Parisa",70T0590J,2019-08-11 06:33:53,Employer,Reason1,allegationtype2,Information from employer
"Wong, Manna",85O6169M,2019-09-04 00:29:52,Employer,Reason1,allegationtype1,Information from employer
"Lew, Connie",18T4124M,2019-01-04 16:44:46,Employer,Reason2,allegationtype1,Information from employer
"Taha, Jack",20T0392P,2019-03-07 06:01:36,Employer,Reason2,allegationtype2,Information from employer
"al-Ismael, Fawqiyya",16L9474K,2019-05-24 22:12:05,Member fo the public,Reason2,allegationtype2,Information from employer
"Lemmons, Sheridan",40J8057M,2019-08-23 08:04:02,Member fo the public,Reason2,allegationtype2,Information from employer
"Garcia, Tyana",30A9888B,2019-08-08 12:28:55,Employer,Reason1,allegationtype1,
"Lovan, Sierra",02Q8990K,2019-05-08 07:52:32,Employer,Reason2,allegationtype2,
"Filutze, Maria",56A8978E,2019-08-07 05:06:20,Employer,Reason1,allegationtype1,
"Brady, Michael",47L7187X,2019-11-25 03:55:43,Employer,Reason1,allegationtype1,Information from employer
"Burrola-Caro, Destiny",46X1904C,2019-09-06 18:04:10,Member fo the public,Reason1,allegationtype2,Information from employer
"Escarcega Nunez, Devyn",70R4459G,2019-01-21 00:32:57,Member fo the public,Reason2,allegationtype2,
"Wenum, Chase",04F8003W,2019-11-13 11:30:37,Employer,Reason1,allegationtype1,
"Sablan, Tamara",51I7728D,2019-01-05 22:37:54,Member fo the public,Reason2,allegationtype1,
"Lovato-Rivera, Aubrey",98E9907J,2019-06-04 12:24:47,Member fo the public,Reason1,allegationtype2,Information from employer
"Clark, Alexander",28S8462N,2019-06-22 05:22:14,Member fo the public,Reason1,allegationtype2,
"Medina, Frankie",17N7225U,2019-12-19 00:58:25,Employer,Reason2,allegationtype2,
"el-Allam, Abdul Baasid",43Y9939F,2019-08-09 18:22:42,Employer,Reason2,allegationtype1,
"Lamping, Randall",84O1569I,2019-10-01 11:25:44,Employer,Reason2,allegationtype1,
"Tafoya, Samantha",65U3798S,2019-04-19 17:50:13,Member fo the public,Reason1,allegationtype1,
"al-Bilal, Zahra",85C9043J,2019-11-25 12:11:56,Member fo the public,Reason2,allegationtype1,
"Nava, Xavier",10K6939C,2019-12-06 05:02:00,Employer,Reason2,allegationtype2,Information from employer
"el-Elbaz, Jaadallah",00I7559N,2019-12-02 08:36:47,Member fo the public,Reason1,allegationtype2,
"Ramos, Isabael",86J4909N,2019-09-03 03:54:58,Member fo the public,Reason1,allegationtype1,Information from employer
"Olivos, Arcelia",03M8486C,2019-07-03 10:37:17,Member fo the public,Reason1,allegationtype2,Information from employer
"el-Baccus, Aanisa",91W4448E,2019-06-08 06:33:57,Member fo the public,Reason1,allegationtype1,
"el-Haidar, Ramla",16X5004Q,2019-04-05 03:27:53,Employer,Reason1,allegationtype1,Information from employer
"Gillies, Mitchell",40N1617J,2019-09-15 06:34:21,Member fo the public,Reason1,allegationtype2,Information from employer
"Hall, Kenneth",51W6325V,2019-04-03 11:25:43,Employer,Reason1,allegationtype1,Information from employer
"Bohlen, Lizette",49G4514P,2019-06-27 18:48:28,Employer,Reason1,allegationtype2,
"Guerrero, Carlos",92Z4255S,2019-09-30 13:15:42,Member fo the public,Reason1,allegationtype1,
"Boehler, Anna Marie",78Y5007D,2019-08-11 19:02:19,Member fo the public,Reason1,allegationtype2,Information from employer
"Baldino, Shay",33H9090Z,2019-05-22 21:47:19,Employer,Reason2,allegationtype1,
"Portman, Lyndsey",26U6499Q,2019-08-05 12:13:48,Employer,Reason2,allegationtype2,
"Meharzi, Riley",72H8919Y,2019-11-09 05:18:16,Employer,Reason2,allegationtype1,Information from employer
"Gonzales, Skyler",02B2603P,2019-12-30 10:19:08,Member fo the public,Reason2,allegationtype2,
"Vue, Justin",47W9012O,2019-08-17 02:59:12,Employer,Reason2,allegationtype1,Information from employer
"Canuto, Ignacio",36G7647E,2019-07-06 16:06:39,Employer,Reason2,allegationtype1,
"Freismuth, Ryan",88H4179J,2019-08-24 09:08:21,Employer,Reason1,allegationtype2,Information from employer
"Koch, Grant",54W0633P,2019-10-23 11:52:10,Member fo the public,Reason1,allegationtype2,
"Loomis, Cosette",08Q7325W,2019-08-15 17:13:39,Employer,Reason2,allegationtype2,Information from employer
"Ditges, Amber",70X3366J,2019-06-06 04:10:46,Employer,Reason1,allegationtype1,
"Arguello, Alejandro",15G0568Q,2019-01-18 14:39:53,Employer,Reason1,allegationtype1,Information from employer
"Phelps-Daniels, Ashanti",75N9359Z,2019-07-10 19:28:43,Member fo the public,Reason1,allegationtype2,
"Robinson, Deaidreiss",73N6757P,2019-05-17 10:39:51,Member fo the public,Reason1,allegationtype1,
"Scott, Bryce",87H9825N,2019-09-06 01:32:14,Member fo the public,Reason1,allegationtype1,
"Herrera, Charles",32C1486S,2019-11-24 07:06:30,Employer,Reason2,allegationtype2,Information from employer
"Watt, Thomas Pablo",43E5747E,2019-11-20 15:42:23,Member fo the public,Reason1,allegationtype1,
"Candelaria, Nickolas",41J8870V,2019-11-14 08:32:43,Member fo the public,Reason1,allegationtype2,
"Fischer, Keenan",72X2100N,2019-08-18 14:21:19,Member fo the public,Reason1,allegationtype2,Information from employer
"al-Shariff, Musheer",64X7075Y,2019-08-10 21:15:14,Employer,Reason1,allegationtype1,Information from employer
"Gage, Amy",27K4119S,2019-08-11 04:31:49,Employer,Reason2,allegationtype2,
"el-Akbar, Ghaaliba",17B0721Y,2019-03-08 04:13:49,Employer,Reason2,allegationtype1,
"Harris, Justin",34Y7258H,2019-12-23 09:27:25,Member fo the public,Reason2,allegationtype1,
"Almony, Phurba",11M9680L,2019-12-11 08:54:39,Member fo the public,Reason2,allegationtype1,
"Bechtel, Cheyenne",43I9239P,2019-08-11 03:09:23,Member fo the public,Reason1,allegationtype1,
"Leal-Palacios, Karen",66P3412Q,2019-08-01 15:53:17,Member fo the public,Reason2,allegationtype2,
"Mills, Patrick",04L7539O,2019-07-20 05:33:27,Employer,Reason2,allegationtype2,
"Winters, Floyd",43W3360J,2019-07-18 20:11:03,Employer,Reason1,allegationtype1,
"Yellow, Chelsea",29Y2244J,2019-05-01 20:15:59,Employer,Reason2,allegationtype1,
"Siwa, James",99O1509M,2019-04-30 16:00:55,Member fo the public,Reason2,allegationtype2,
"Cosby, Remon",93Z6786E,2019-01-25 03:38:09,Employer,Reason2,allegationtype2,
"Leeds, Christian",35Y7486F,2019-01-31 10:14:11,Member fo the public,Reason2,allegationtype2,Information from employer
"al-Rahaman, Khawla",60N7507E,2019-01-16 13:01:45,Member fo the public,Reason2,allegationtype2,
"Mendibles, David",57K2512D,2019-06-03 14:07:29,Member fo the public,Reason2,allegationtype1,Information from employer
"Polton, Megan",23X9126D,2019-06-03 14:07:29,Member fo the public,Reason2,allegationtype1,Information from employer
"Sisneros, Azaleah",89D2817X,2019-07-27 02:38:47,Employer,Reason2,allegationtype2,Information from employer
"el-Basha, Izza",48O7039Z,2019-02-22 08:57:44,Member fo the public,Reason2,allegationtype1,Information from employer
"Milburn, Daniel",41X9228O,2019-10-22 01:20:11,Member fo the public,Reason1,allegationtype2,Information from employer
"Thomas, Genesis",99L3433W,2019-12-09 12:34:50,Employer,Reason2,allegationtype2,
"Boon, Sydney",07X9471L,2019-09-08 17:46:17,Employer,Reason2,allegationtype1,
"Pace, Marian",62D7359N,2019-10-23 00:03:10,Employer,Reason1,allegationtype2,
"al-Ansari, Saafiyya",78X3436Y,2019-08-05 04:18:40,Employer,Reason2,allegationtype1,
"Heynen, Brandon",16Q3716E,2019-11-24 21:42:48,Member fo the public,Reason1,allegationtype2,
"Kibbee, Zachary",03N9557S,2019-07-26 17:37:43,Employer,Reason1,allegationtype1,
"el-Kabir, Abbaas",16O3426I,2019-05-04 05:04:47,Employer,Reason2,allegationtype1,Information from employer
"Garnier, Regal",33W4961M,2019-05-05 23:56:53,Member fo the public,Reason2,allegationtype2,
"Cone, Trevor",82L6896M,2019-07-18 23:33:31,Member fo the public,Reason1,allegationtype1,Information from employer
"el-Mostafa, Taariq",42F7462V,2019-03-03 02:03:01,Employer,Reason1,allegationtype1,
"Moon, Pragna",49L5725Z,2019-02-24 16:08:45,Member fo the public,Reason1,allegationtype2,Information from employer
"Rockwell, Gilbert",54L9896M,2019-02-14 18:08:18,Member fo the public,Reason2,allegationtype1,Information from employer
"Farmer, Stephanie",61P2909V,2019-07-25 08:04:27,Employer,Reason1,allegationtype1,Information from employer
"Vera, Roberto",71D6478T,2019-12-06 04:18:28,Employer,Reason2,allegationtype1,
"al-Hashim, Raashid",18T4124M,2019-12-22 19:08:00,Member fo the public,Reason1,allegationtype1,
"Wielga, Elizabeth",48K3374C,2019-08-30 19:25:53,Member fo the public,Reason1,allegationtype1,
"Bechtel, Cheyenne",93J9819H,2019-11-20 10:04:37,Member fo the public,Reason2,allegationtype1,
"Thompson, Celeste",82M6099R,2019-08-05 16:02:30,Employer,Reason2,allegationtype1,Information from employer
"Nguyen, David",29P6801Y,2019-10-08 01:34:50,Employer,Reason2,allegationtype2,Information from employer
"al-Ismael, Fawqiyya",36H4097H,2019-03-02 13:40:37,Employer,Reason2,allegationtype2,Information from employer
"Kadrmas, Lawrence",59C8837G,2019-08-05 15:12:30,Employer,Reason2,allegationtype2,
"Sheahan, Abhi",18H6644Y,2019-04-24 11:24:46,Member fo the public,Reason2,allegationtype2,
"Adams, Aura",03A1859G,2019-02-01 10:07:06,Employer,Reason1,allegationtype2,Information from employer
"Ambrose, Katherine",12S1218V,2019-11-07 05:27:17,Employer,Reason2,allegationtype2,
"Lathrop, Randall",41T8857Y,2019-08-21 19:16:44,Member fo the public,Reason2,allegationtype1,
"el-Abdelnour, Mukarram",31F3847G,2019-01-22 08:29:21,Member fo the public,Reason1,allegationtype1,Information from employer
"el-Zafar, Yoosuf",88A4237Z,2019-05-11 21:57:19,Employer,Reason2,allegationtype2,Information from employer
"Nguyen, Binyu",07J7359X,2019-11-23 03:40:10,Employer,Reason2,allegationtype2,Information from employer
"Chavez, David",13N0057H,2019-06-04 11:46:19,Employer,Reason2,allegationtype1,Information from employer
"el-Hafeez, Shaheed",48R3846S,2019-01-26 22:16:24,Employer,Reason2,allegationtype1,
"al-Shaheed, Saaliha",68L2452I,2019-12-06 21:26:07,Employer,Reason2,allegationtype1,
"Lee, Allison",45M3618C,2019-09-17 15:38:13,Member fo the public,Reason1,allegationtype1,Information from employer
"Okubo, Vasanth",63Y5447L,2019-09-18 10:38:09,Member fo the public,Reason2,allegationtype2,Information from employer
"Didario, Kristine",97D2091O,2019-10-17 15:38:35,Member fo the public,Reason1,allegationtype2,Information from employer
"Little, Breana",93G1993P,2019-02-13 19:45:54,Employer,Reason1,allegationtype1,
"Yang, Kyle",01Q5870X,2019-11-25 05:47:46,Employer,Reason1,allegationtype2,
